None,'t',1603459783.882251
't','h',1603459784.113447
'h','e',1603459784.409461
'e','b',1603459784.745586
'b','r',1603459784.977501
'r','o',1603459785.329820
'o','w',1603459785.753562
'w','n',1603459786.161658
'n','f',1603459786.464617
'f','o',1603459786.785529
'o','x',1603459787.161405
'x','j',1603459787.497433
'j','u',1603459787.649059
'u','m',1603459787.969491
'm','p',1603459788.113531
'p','s',1603459788.505415
's','o',1603459788.841394
'o','v',1603459789.153394
'v','e',1603459789.385390
'e','r',1603459789.545399
'r','t',1603459789.729348
't','h',1603459789.929592
'h','e',1603459790.193308
'e','g',1603459790.449413
'g','r',1603459790.625404
'r','a',1603459790.857051
'a','y',1603459791.273411
'y','d',1603459791.529775
'd','o',1603459791.881300
'o','g',1603459792.280957
'g',Key.esc,1603459793.145186
